bloque,inicio_bloque,rmse,mae,r2
55,39072,0.018747391753158343,0.01744960871855418,-5.701689941814951
56,39120,0.00986912126376956,0.008560208333333333,-0.07866179642947047
57,39168,0.012364730247318175,0.009952983155250549,-0.808898766729653
58,39216,0.021159802808008846,0.016260368712743126,-0.8790355934512928
59,39264,0.0059839815266789775,0.005156526838938393,-1.688709767349851
60,39312,0.007728825708477571,0.00731112387339274,-8.508549326410646
61,39360,0.009606055351606005,0.008497788523038228,-0.16904441382737345
62,39408,0.010273105525794708,0.007764327046076457,-0.6354738727945655
63,39456,0.016028422282859965,0.01204621574719747,-0.7022868481578826
64,39504,0.012562903054911104,0.010506396678288779,-1.2817140265941616
65,39552,0.011332152362790839,0.009067646678288778,-1.4089761184288858
66,39600,0.014152237284218928,0.010786827046076456,-1.0554249560715498
67,39648,0.008089612814242992,0.006159629270235698,-1.0505771070602115
68,39696,0.005929456685227802,0.00428844777584076,-0.07144743443611046
69,39744,0.01217443915604315,0.010262747419675191,-1.7195760916991798
70,39792,0.00695917580507437,0.005100087040265401,-0.22321830667675013
71,39840,0.004563186763049139,0.003653388137817383,-1.1665940422724037
72,39888,0.006189438174214237,0.005200389264424642,-0.05700883860721917
73,39936,0.013328242804359984,0.01248482390244802,-4.664595668445952
74,39984,0.007515287986393149,0.006276188344955444,-1.0637325155949422
75,40032,0.006117792836433437,0.004867990005811056,-0.7763861096147322
76,40080,0.00485546679722516,0.003595766844749451,-0.028014856308738345
77,40128,0.006594740208004412,0.005292055931091308,-0.4063632992757913
78,40176,0.010270901064786632,0.009004521678288776,-1.8872448325179403
79,40224,0.015675218659624072,0.01359544890244802,-2.5180759827646675
80,40272,0.01054808938886292,0.00964335871855418,-4.101987688479169
81,40320,0.011399900898511842,0.010942417793273923,-11.714487210860833
82,40368,0.009031069481267324,0.008550959459940591,-8.662034980142757
83,40416,0.01003230958744686,0.009149400385220845,-4.848820639889495
84,40464,0.0074944303973152335,0.006759817051887512,-4.175557828532461
85,40512,0.010482045265680006,0.00945887612660726,-4.385169875886738
86,40560,0.00987335358771018,0.009562834459940592,-15.152134818652947
87,40608,0.011576312405617552,0.010679400385220847,-5.444605672533206
88,40656,0.006940457317517958,0.006545542793273926,-8.044611353101356
89,40704,0.008300373749485668,0.007658459459940592,-5.725384476701416
90,40752,0.005011796978439693,0.004602209459940593,-5.378753468870899
91,40800,0.008246553238891832,0.00759825112660726,-5.620344911069372
92,40848,0.007228856448212798,0.006019292793273926,-2.261033502698808
93,40896,0.0024933442166890298,0.0019773924080530806,-0.015245821201857801
94,40944,0.006303985889100441,0.0051636013046900435,-0.6099033644931087
95,40992,0.005902279992304727,0.004320872419675191,-1.034179640865208
96,41040,0.004811769325517299,0.003210892971356709,-0.5519128975829473
97,41088,0.0042559051932208455,0.0034194825919469187,-0.0330442455928146
98,41136,0.006208625129176135,0.00523994519551595,-1.1804950383852373
99,41184,0.005189726697928233,0.003940664086341858,-1.1037425390190512
100,41232,0.004427262666783011,0.003419146114985148,-0.5267885474571625
101,41280,0.006326306225410769,0.00534182019551595,-1.453519586892127
102,41328,0.0019313899651506295,0.0015365727758407605,-0.0009753978870195024
103,41376,0.0035321034211527476,0.0026544825919469195,-0.05346995979741598
104,41424,0.008197940291354774,0.006723681494394938,-1.8446708947819968
105,41472,0.010388847802545372,0.00929180649439494,-2.7868624220627076
106,41520,0.01029234452587779,0.008999084459940592,-3.2459841118355444
107,41568,0.007842172644035356,0.007166167793273926,-5.06164241793494
108,41616,0.008836659139784877,0.008116167793273924,-5.393008894592979
109,41664,0.005212592050703427,0.0049211677932739254,-8.200494463790985
110,41712,0.007451601601850526,0.006812209459940593,-5.088304747316286
111,41760,0.011484240219670707,0.01068512612660726,-6.444618829002594
112,41808,0.013339149053416157,0.01271200112660726,-9.890789335856002
113,41856,0.0125736735446537,0.011855542793273924,-8.01179494194338
114,41904,0.013643314781515857,0.013218042793273925,-15.294650994462579
115,41952,0.015969700716927708,0.015475751126607257,-15.41924129996993
116,42000,0.016252526477272346,0.015615959459940593,-12.020756014576275
117,42048,0.016714863330068642,0.01574470945994059,-7.872014433418512
118,42096,0.014867219695551508,0.014536376126607258,-21.72146746255417
119,42144,0.015600674994252795,0.014851584459940592,-9.66922682355346
120,42192,0.004711144055536647,0.004471792793273926,-9.098001908166358
121,42240,0.005864501830599252,0.0056611677932739265,-13.675266672515082
122,42288,0.015011272194135806,0.014222417793273925,-8.771348660849577
123,42336,0.017920615892002372,0.01611158445994059,-4.216385998224163
124,42384,0.017917801164818427,0.017304917793273925,-13.871977159472499
125,42432,0.023602510169900573,0.02308158445994059,-21.907181341078196
126,42480,0.019372448636257852,0.018173667793273927,-7.338044708850269
127,42528,0.024464446274909492,0.02401033445994059,-26.188930598678485
128,42576,0.020191151085211873,0.019425959459940592,-12.448354589891942
129,42624,0.02015458553407683,0.019334292793273925,-11.540188856143974
130,42672,0.007629665968030999,0.006964917793273927,-5.0001510333518056
131,42720,0.005969364565664445,0.0056646087185541795,-7.673385826300688
132,42768,0.013644023502713867,0.012270542793273926,-4.230201351910998
133,42816,0.016169277493599737,0.01450398371855418,-4.071866698427823
134,42864,0.014958085307243758,0.013688667793273927,-5.152790396889562
135,42912,0.008049695644189352,0.007824709459940592,-17.142854228362026
136,42960,0.013006441155394243,0.01163398371855418,-3.6521894018570107
137,43008,0.008567417871093606,0.007560650385220846,-3.260826694826232
138,43056,0.012302856686961563,0.010438876126607259,-2.5706476682375543
139,43104,0.00517604208122806,0.004239313344955444,-1.5736669300642343
140,43152,0.00794369918023255,0.006733889827728271,-1.941119388836157
141,43200,0.006341529855525446,0.005217042229970297,-0.5700596193175584
142,43248,0.009566111216572633,0.008546382977167767,-2.824132815097864
143,43296,0.018370284193624978,0.017035865569114683,-5.03227266687057
144,43344,0.016441497488581657,0.014134292793273925,-2.831941966112868
145,43392,0.013287227121072862,0.011173150385220846,-2.2892482107941086
146,43440,0.012325160836627741,0.011213667793273928,-4.806221433252848
147,43488,0.01093719184137159,0.008270288523038228,-0.47442316889439073
148,43536,0.010035777856860526,0.007751403528849283,-1.048646408672489
149,43584,0.010890115797069087,0.009117646678288778,-1.30253019054234
150,43632,0.009800600993899124,0.008859535379409788,-1.2765035683968207
151,43680,0.003911121587672486,0.003106659816106161,-0.0008696855372729573
152,43728,0.007500811566108234,0.005879441488583883,-0.4605501379942183
153,43776,0.02547337673735516,0.02504158445994059,-28.749395321530635
154,43824,0.03539854270237213,0.03275887612660726,-5.964798529976987
155,43872,0.02427766261910749,0.02138179279327393,-3.4576296214496294
156,43920,0.01822978694236449,0.01720325112660726,-8.136517461547278
157,43968,0.015741743881794928,0.014816376126607259,-7.763239676377038
