día,baseline,modelo,penalizaciones
97.0,1.2887157225288755,0.26581053041435293,70.0
98.0,1.4487881812395254,1.364529832439013,40.0
99.0,1.350938871363811,0.8435337150499826,70.0
100.0,1.3746334138348861,1.4681542294041017,40.0
101.0,1.5280323864444774,-1.3230522516832401,50.0
102.0,1.2700984335247048,0.8870981288843518,40.0
103.0,1.4055407105449558,0.2598493206342037,60.0
104.0,0.9090890491173168,-0.795996310734374,40.0
105.0,1.1574013469674818,0.8793238801175622,70.0
106.0,1.544860244975426,1.4809043454370456,90.0
107.0,1.6229482890659295,1.1771682586845105,80.0
108.0,0.9806280471879412,0.5027177278779378,60.0
109.0,0.3736952652336033,-0.10887184174812323,20.0
110.0,0.3639955040535445,1.4069036675778324,60.0
111.0,0.3993193522479621,0.5062811622105481,80.0
112.0,0.34925664183142757,-0.5487367944680234,60.0
113.0,0.4166456509569096,-0.06601453534182267,60.0
114.0,1.2960007103017577,0.023900313777278026,50.0
115.0,1.5171331298062605,-0.730574791129915,40.0
116.0,1.5020837691148317,-0.21239892255202264,60.0
117.0,1.5284926420534668,1.8411492967487404,60.0
118.0,1.7064435310166157,1.030642914472937,50.0
119.0,1.2323900377996868,0.9608194207504221,40.0
120.0,1.4418770298484331,0.4338526040618841,40.0
121.0,1.230429725508806,1.4244641524546737,70.0
122.0,1.36793925900869,-0.34907803213999955,50.0
123.0,1.4854735689043852,0.24436360737001517,70.0
124.0,1.1548951075983516,0.7962362880729859,50.0
125.0,1.2635784597650115,0.947406959508601,40.0
126.0,1.2892765387115237,1.6054572756498535,80.0
127.0,1.4639620502618294,-1.3099954804826712,40.0
128.0,1.3479482616693215,0.11737382058278276,50.0
129.0,1.1527799959069287,0.956967052856712,40.0
130.0,1.485391257291386,1.1402253106150506,80.0
131.0,1.3037072113887476,1.413311888744502,50.0
132.0,0.8544208186459122,0.9376190807985231,60.0
133.0,0.9361441459324639,-0.5056050935336865,20.0
134.0,1.2492825838649761,0.6052902177627361,20.0
135.0,1.4022098231938576,-0.1817770802885766,30.0
136.0,1.6477631083153228,-0.06146442997460359,30.0
137.0,1.567537778715684,0.8081330073267986,50.0
138.0,0.9567187336847006,0.5375129143694923,60.0
139.0,1.5526489394332397,0.7561963827682896,50.0
140.0,0.9464345521296945,0.29826065194061263,20.0
141.0,1.1972684551952577,0.5823686706884981,90.0
142.0,0.9858557656784274,0.5685332812125811,50.0
143.0,1.8155109268322287,0.4585186591150614,30.0
144.0,1.2401747292847218,0.9358222864646395,60.0
145.0,1.294673880153202,1.505538398290243,20.0
146.0,0.9999261916311996,-0.988831926097925,50.0
147.0,0.9587504701972993,1.004173737802611,50.0
148.0,1.644112518755342,0.9983509055071569,40.0
149.0,1.5291117230754177,0.6896400514510683,70.0
150.0,1.4009520317605515,-0.6908080063247231,60.0
151.0,1.2836787902470228,0.6633160391080788,50.0
152.0,1.3750416317710963,0.33944175743011623,40.0
153.0,1.507363320299991,-0.7809208309586024,50.0
154.0,1.2934605333408609,0.8676812621948158,60.0
155.0,1.2658155099276436,-0.322259702078041,30.0
156.0,1.2417276137050772,-1.3530919866690052,50.0
157.0,1.4570940029498702,-0.033292489636866485,60.0
158.0,1.2445470137163415,-1.4372581579100114,50.0
159.0,0.9898533717961856,-0.5618178995719822,50.0
160.0,1.0658751626024,0.7840807672162442,40.0
161.0,1.2485299181261214,0.24256158003732325,50.0
162.0,1.8016162795539157,0.8223834392168274,20.0
163.0,1.4232967534802679,1.0962821930888307,30.0
164.0,1.31130623686865,0.25400759225162894,70.0
165.0,1.4045099781895216,0.0854344043525033,20.0
166.0,1.2007584581740687,0.8571960534164016,80.0
167.0,1.5105748436717934,0.7463475278208704,30.0
168.0,0.9894315015302475,0.8893109932140639,30.0
169.0,1.8700823882385513,2.1004019903793267,40.0
170.0,1.1003258729840626,-1.7115605764309894,60.0
171.0,0.8585910113717314,-0.6693642025219303,40.0
172.0,1.4123773767339385,-0.8484299275364967,50.0
