día,baseline,modelo,penalizaciones,solar
30 - 2018-01-10,1.660083541493298,0.333382886459077,0.0,12.796
31 - 2018-01-11,2.082310330829278,-0.818973505647302,10.0,11.866999999999999
32 - 2018-01-12,1.9053817656592227,-2.1850981153995224,30.0,13.315999999999999
33 - 2018-01-13,1.4547992945996338,-0.47110939524511264,30.0,12.817
34 - 2018-01-14,0.8641150314173528,-0.09838268035591574,10.0,12.834
35 - 2018-01-15,1.6817997076643574,-1.2218448158156567,20.0,11.881
36 - 2018-01-16,1.8054757020256662,-0.03403578961933784,50.0,12.764999999999999
37 - 2018-01-17,1.8448117257181325,-0.6832694727983568,20.0,13.411999999999999
38 - 2018-01-18,1.695972209278009,-0.5510221198676003,50.0,13.402
39 - 2018-01-19,1.1329630785952354,0.047134206028449366,40.0,12.734999999999998
40 - 2018-01-20,1.5869601862599232,0.0074051035312854285,30.0,12.283
41 - 2018-01-21,0.8519455346998526,-3.0998103122157916,0.0,12.649999999999997
42 - 2018-01-22,1.6034665549262204,-0.5392725497244426,0.0,12.996
43 - 2018-01-23,1.6032041076265358,0.2107339028106553,20.0,11.243
44 - 2018-01-24,1.7354498767345226,-2.814998742438963,10.0,12.949999999999998
45 - 2018-01-25,1.75092254826351,-0.47969573913555225,20.0,13.008
46 - 2018-01-26,1.3965675411354632,-0.747671389398724,40.0,12.183
47 - 2018-01-27,1.5443565213297141,-0.8716304196208415,10.0,11.62
48 - 2018-01-28,1.5259732727672972,0.5569707258269425,40.0,12.610000000000001
49 - 2018-01-29,0.8299224044789377,-1.1318100997592608,30.0,12.748
50 - 2018-01-30,1.7974161676001128,-1.2535845700706947,20.0,13.137
51 - 2018-01-31,1.713258102154646,-1.2082198062622174,20.0,13.261
52 - 2018-02-01,1.6883829724745045,-0.37276637722925715,30.0,12.139999999999999
53 - 2018-02-02,1.5982689944136035,-0.5154129339461868,20.0,12.522
54 - 2018-02-03,1.257119688295935,0.6477283702652239,10.0,12.468999999999998
